code,model,plot,zone,batch,block,contractor,unitType,typology,actual,planned,variance,band,label,color
DT1-1961,DT1,1961,1B,8,43,SARH,Duplex Villa,DT1,12.1,11.5,0.6,lt35,<M35,#93C5FD
DT1-1751,DT1,1751,1B,6,29,SARH,Duplex Villa,DT1,54.6,49.1,5.5,ms50,M50,#FACC15
DT1-1708,DT1,1708,1B,10,52,SARH,Duplex Villa,DT1,14.9,16.9,-2,lt35,<M35,#93C5FD
DT1-1983,DT1,1983,1B,8,43,SARH,Duplex Villa,DT1,12.1,11.5,0.6,lt35,<M35,#93C5FD
DT1-1960,DT1,1960,1B,8,43,SARH,Duplex Villa,DT1,12.2,11.5,0.7,lt35,<M35,#93C5FD
DT1-1950,DT1,1950,1B,8,43,SARH,Duplex Villa,DT1,12.2,11.5,0.7,lt35,<M35,#93C5FD
TH1-1909,TH1,1909,1B,9,44,SARH,Townhouse,TH1,28.6,23.4,5.2,lt35,<M35,#93C5FD
DT1-1951,DT1,1951,1B,8,43,SARH,Duplex Villa,DT1,12.1,11.5,0.6,lt35,<M35,#93C5FD
DT1-1888,DT1,1888,1B,7,39,SARH,Duplex Villa,DT1,13.8,22,-8.2,lt35,<M35,#93C5FD
DT1-1968,DT1,1968,1B,9,46,SARH,Duplex Villa,DT1,13.2,11.6,1.6,lt35,<M35,#93C5FD
DT1-1707,DT1,1707,1B,10,52,SARH,Duplex Villa,DT1,14.8,16.8,-2,lt35,<M35,#93C5FD
DT1-1567,DT1,1567,1B,11,55,SARH,Duplex Villa,DT1,14.9,20.5,-5.6,lt35,<M35,#93C5FD
DT1-1722,DT1,1722,1B,11,59,SARH,Duplex Villa,DT1,12.1,3.5,8.6,lt35,<M35,#93C5FD
DT1-1972,DT1,1972,1B,8,43,SARH,Duplex Villa,DT1,12.2,11.5,0.7,lt35,<M35,#93C5FD
DT1-1559,DT1,1559,1B,10,54,SARH,Duplex Villa,DT1,14.9,16.8,-1.9,lt35,<M35,#93C5FD
DT1-1661,DT1,1661,1B,12,62,SARH,Duplex Villa,DT1,13.6,3.2,10.4,lt35,<M35,#93C5FD
DT1-1750,DT1,1750,1B,6,29,SARH,Duplex Villa,DT1,55.3,49.3,6,ms50,M50,#FACC15
DT1-1723,DT1,1723,1B,11,59,SARH,Duplex Villa,DT1,12.2,3.5,8.7,lt35,<M35,#93C5FD
