code,model,plot,zone,batch,block,contractor,unitType,typology,actual,planned,variance,band,label,color
DP4-2049,DP4,2049,1A,3,11,SARH,Duplex Villa,DP4,47.5,52.8,-5.3,ms35,M35,#3B82F6
DP4-2045,DP4,2045,1A,4,19,SARH,Duplex Villa,DP4,13.9,22.4,-8.5,lt35,<M35,#93C5FD
DP4-2057,DP4,2057,1A,3,11,SARH,Duplex Villa,DP4,31.4,52.8,-21.4,lt35,<M35,#93C5FD
DP4-2184,DP4,2184,1A,5,25,SARH,Duplex Villa,DP4,12,28.1,-16.1,lt35,<M35,#93C5FD
DP4-2183,DP4,2183,1A,5,25,SARH,Duplex Villa,DP4,12,28.1,-16.1,lt35,<M35,#93C5FD
DP4-2136,DP4,2136,1A,4,21,SARH,Duplex Villa,DP4,13.3,36,-22.7,lt35,<M35,#93C5FD
DP4-1985,DP4,1985,1A,3,15,SARH,Duplex Villa,DP4,20.7,43.3,-22.6,lt35,<M35,#93C5FD
DP4-2102,DP4,2102,1A,5,27,SARH,Duplex Villa,DP4,14.6,29.4,-14.8,lt35,<M35,#93C5FD
DP4-1996,DP4,1996,1A,3,15,SARH,Duplex Villa,DP4,15.7,43.3,-27.6,lt35,<M35,#93C5FD
DP4-2053,DP4,2053,1A,3,11,SARH,Duplex Villa,DP4,49.8,52.8,-3,ms35,M35,#3B82F6
DP4-2147,DP4,2147,1A,4,17,SARH,Duplex Villa,DP4,14,26.8,-12.8,lt35,<M35,#93C5FD
VD4-2251,VD4,2251,1A,1,5,SARH,Villa,VD4,33.7,31.7,2,lt35,<M35,#93C5FD
VD4-2124,VD4,2124,1A,4,17,SARH,Villa,VD4,13.1,27.6,-14.5,lt35,<M35,#93C5FD
VD4-2212,VD4,2212,1A,2,7,SARH,Villa,VD4,48.7,42.4,6.3,ms35,M35,#3B82F6
VD4-2105,VD4,2105,1A,5,27,SARH,Villa,VD4,14.6,30.4,-15.8,lt35,<M35,#93C5FD
VD4-2230,VD4,2230,1A,2,7,SARH,Villa,VD4,48.2,42.4,5.8,ms35,M35,#3B82F6
VD4-2149,VD4,2149,1A,4,18,SARH,Villa,VD4,14.4,27,-12.6,lt35,<M35,#93C5FD
VD4-2098,VD4,2098,1A,4,16,SARH,Villa,VD4,20.5,34.3,-13.8,lt35,<M35,#93C5FD
VD4-2119,VD4,2119,1A,4,16,SARH,Villa,VD4,15.5,34.3,-18.8,lt35,<M35,#93C5FD
VD4-2167,VD4,2167,1A,4,18,SARH,Villa,VD4,14.4,27,-12.6,lt35,<M35,#93C5FD
VD4-2038,VD4,2038,1A,5,23,SARH,Villa,VD4,16.5,20.4,-3.9,lt35,<M35,#93C5FD
VD4-2225,VD4,2225,1A,2,7,SARH,Villa,VD4,17.9,42.4,-24.5,lt35,<M35,#93C5FD
VD4-2135,VD4,2135,1A,4,21,SARH,Villa,VD4,13.2,36.6,-23.4,lt35,<M35,#93C5FD
VD4-2207,VD4,2207,1A,2,7,SARH,Villa,VD4,17.9,42.4,-24.5,lt35,<M35,#93C5FD
VD4-2248,VD4,2248,1A,2,6,SARH,Villa,VD4,33.8,57.9,-24.1,lt35,<M35,#93C5FD
VD4-1997,VD4,1997,1A,3,15,SARH,Villa,VD4,16.8,43.9,-27.1,lt35,<M35,#93C5FD
VD4-2170,VD4,2170,1A,4,18,SARH,Villa,VD4,14.3,26.9,-12.6,lt35,<M35,#93C5FD
VD4-2172,VD4,2172,1A,5,25,SARH,Villa,VD4,14.3,28.8,-14.5,lt35,<M35,#93C5FD
VD4-2004,VD4,2004,1A,3,15,SARH,Villa,VD4,16,43.9,-27.9,lt35,<M35,#93C5FD
VD4-2231,VD4,2231,1A,2,6,SARH,Villa,VD4,25,57.8,-32.8,lt35,<M35,#93C5FD
VD4-2100,VD4,2100,1A,5,27,SARH,Villa,VD4,14.6,30.4,-15.8,lt35,<M35,#93C5FD
VD4-2014,VD4,2014,1A,5,26,SARH,Villa,VD4,14.6,15.2,-0.6,lt35,<M35,#93C5FD
